id,section_number,title,short_description,mapped_category,punishment,bailability_status,court_jurisdiction,full_legal_text,urgency_label
347,347,Wrongful confinement to extort property or constrain to illegal act.,Confining a person to extort property or force them to do an illegal act.,Property Crime,"Imprisonment up to 3 years, and fine.",Non-Bailable,Magistrate of the First Class,"Whoever wrongfully confines any person for the purpose of extorting from the person confined, or from any person interested in the person confined, any property or valuable security or of compelling the person confined or any person interested in the person confined to do anything illegal or which may facilitate the commission of an offence, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",Low
348,348,"Wrongful confinement to extort confession, or compel restoration of property.",Confining a person to extort a confession or compel them to restore property.,Crime Against Person,"Imprisonment up to 3 years, and fine.",Non-Bailable,Magistrate of the First Class,"Whoever wrongfully confines any person for the purpose of extorting from the person confined or from any person interested in the person confined any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of compelling the person confined or any person interested in the person confined to restore or to cause the restoration of any property or valuable security or to satisfy any claim or demand, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",Low
352,352,Punishment for assault or criminal force otherwise than on grave provocation.,Punishment for assault or using criminal force.,Crime Against Person,"Imprisonment up to 3 months, or fine up to 500 rupees, or both.",Bailable,Any Magistrate,"Whoever assaults or uses criminal force to any person otherwise than on grave and sudden provocation given by that person, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.",Medium
353,353,Assault or criminal force to deter public servant from discharge of his duty.,Assaulting a public servant to deter them from their duty.,Crime Against Person,"Imprisonment up to 2 years, or fine, or both.",Non-Bailable,Magistrate of the First Class,"Whoever assaults or uses criminal force to any person being a public servant in the execution of his duty as such public servant, or with intent to prevent or deter that person from discharging his duty as such public servant, or in consequence of anything done or attempted to be done by that person in the lawful discharge of his duty as such public servant, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Medium
354,354,Assault or criminal force to woman with intent to outrage her modesty.,Using force against a woman to outrage her modesty.,Crime Against Woman,"Imprisonment for at least 1 year, up to 5 years, and fine.",Non-Bailable,Magistrate of the First Class,"Whoever assaults or uses criminal force to any woman, intending to outrage or knowing it to be likely that he will thereby outrage her modesty, shall be punished with imprisonment of either description for a term which shall not be less than one year but which may extend to five years, and shall also be liable to fine.",Medium
354A,354A,Sexual harassment and punishment for sexual harassment.,Defining sexual harassment and prescribing punishment for it.,Crime Against Woman,Varies based on the specific act.,"Non-Bailable, Bailable",Magistrate of the First Class,"A man committing any of the following acts—(i) physical contact and advances involving unwelcome and explicit sexual overtures; or (ii) a demand or request for sexual favours; or (iii) showing pornography against the will of a woman; or (iv) making sexually coloured remarks, shall be guilty of the offence of sexual harassment.",Low
354B,354B,Assault or use of criminal force to woman with intent to disrobe.,Using force against a woman to disrobe her or compel her to be naked.,Crime Against Woman,"Imprisonment for at least 3 years, up to 7 years, and fine.",Non-Bailable,Court of Session,"Whoever assaults or uses criminal force to any woman or abets such act with the intention of disrobing her or compelling her to be naked, shall be punished with imprisonment of either description for a term which shall not be less than three years but which may extend to seven years, and shall also be liable to fine.",Medium
354C,354C,Voyeurism.,"Capturing, or sharing an image of a woman engaging in a private act without her consent.",Cybercrime,"First conviction: Imprisonment for at least 1 year, up to 3 years, and fine. Second or subsequent conviction: Imprisonment for at least 3 years, up to 7 years, and fine.",Non-Bailable,Magistrate of the First Class,"Any person who, with knowledge that the woman is engaged in a private act, watches, or captures the image of a woman, without her consent, engaging in a private act, shall be punished with imprisonment of either description for a term which shall not be less than one year but which may extend to three years, or with fine, or with both.",Low
354D,354D,Stalking.,"Following or contacting a woman, or trying to contact her, despite a clear indication of disinterest.",Crime Against Woman,"First conviction: Imprisonment up to 3 years, or with fine, or both. Second or subsequent conviction: Imprisonment up to 5 years, or with fine, or both.","Bailable, Non-Bailable",Magistrate of the First Class,"Any man who follows a woman and contacts, or attempts to contact, such woman to foster personal interaction repeatedly despite a clear indication of disinterest by such woman, or watches or spies on a woman engaging in a private act, shall be guilty of the offence of stalking.",Low
355,355,"Assault or criminal force with intent to dishonor person, otherwise than on grave provocation.",Assault or criminal force to dishonor a person.,Crime Against Person,"Imprisonment up to 2 years, or fine, or both.",Bailable,Any Magistrate,"Whoever assaults or uses criminal force to any person, intending thereby to dishonor that person, otherwise than on grave and sudden provocation given by that person, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Medium
356,356,Assault or criminal force in attempt to commit theft of property carried by a person.,Assault or criminal force in an attempt to steal property from a person's possession.,Property Crime,"Imprisonment up to 2 years, or fine, or both.",Non-Bailable,Any Magistrate,"Whoever assaults or uses criminal force to any person, in attempting to commit theft on any property which that person is then wearing or carrying, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Medium
357,357,Assault or criminal force in attempt wrongfully to confine a person.,Assault or criminal force used to wrongfully confine a person.,Crime Against Person,"Imprisonment up to 1 year, or fine up to 1000 rupees, or both.",Bailable,Any Magistrate,"Whoever assaults or uses criminal force to any person, in attempting wrongfully to confine that person, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine which may extend to one thousand rupees, or with both.",Medium
358,358,Assault or criminal force on grave provocation.,"Assault or criminal force on grave and sudden provocation, without intent to harm others.",Crime Against Person,"Simple imprisonment up to 1 month, or fine up to 200 rupees, or both.",Bailable,Any Magistrate,"Whoever assaults or uses criminal force to any person on grave and sudden provocation given by that person, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both.",Medium
363,363,Punishment for kidnapping.,Punishment for kidnapping from India or lawful guardianship.,Crime Against Person,"Imprisonment up to 7 years, and fine.",Non-Bailable,Magistrate of the First Class,"Whoever kidnaps any person from India or from lawful guardianship, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",Low
364,364,Kidnapping or abducting in order to murder.,Kidnapping or abducting a person with the intent to murder them.,Crime Against Person,"Imprisonment for life, or rigorous imprisonment up to 10 years, and fine.",Non-Bailable,Court of Session,"Whoever kidnaps or abducts any person in order that such person may be murdered or may be so disposed of as to be put in danger of being murdered, shall be punished with imprisonment for life or rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine.",High
365,365,Kidnapping or abducting with intent secretly and wrongfully to confine person.,Kidnapping or abducting a person with the intent of wrongful and secret confinement.,Crime Against Person,"Imprisonment up to 7 years, and fine.",Non-Bailable,Magistrate of the First Class,"Whoever kidnaps or abducts any person with intent to cause that person to be secretly and wrongfully confined, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",Low
366,366,"Kidnapping, abducting or inducing woman to compel her to marriage, etc.",Kidnapping or abducting a woman to force her into marriage or illicit intercourse.,Crime Against Woman,"Imprisonment up to 10 years, and fine.",Non-Bailable,Court of Session,"Whoever kidnaps or abducts any woman with intent that she may be compelled, or knowing it to be likely that she will be compelled, to marry any person against her will, or in order that she may be forced or seduced to illicit intercourse, or knowing it to be likely that she will be forced or seduced to illicit intercourse, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Low
366A,366A,Procuration of minor girl.,Inducing a minor girl to go from a place to another for illicit intercourse.,Crime Against Woman,"Imprisonment up to 10 years, and fine.",Non-Bailable,Court of Session,"Whoever by any means whatsoever induces any minor girl under the age of eighteen years to go from any place with intent that she may be, or knowing that it is likely that she will be, forced or seduced to illicit intercourse with another person, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Low
366B,366B,Importation of girl from foreign country.,Importing a minor girl for prostitution.,Crime Against Woman,"Imprisonment up to 10 years, and fine.",Non-Bailable,Court of Session,"Whoever imports into India from any country outside India, any girl under the age of twenty-one years with intent that she may be, or knowing it to be likely that she will be, forced or seduced to illicit intercourse with another person, or to be kept as a prostitute, or to be otherwise disposed of for the purpose of prostitution, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Low
367,367,"Kidnapping or abducting in order to subject person to grievous hurt, slavery, etc.",Kidnapping or abducting to subject the person to grievous hurt or slavery.,Crime Against Person,"Imprisonment up to 10 years, and fine.",Non-Bailable,Court of Session,"Whoever kidnaps or abducts any person in order that such person may be subjected, or knowing it to be likely that such person will be subjected to grievous hurt or slavery, or to the unnatural lust of any person, or knowing it to be likely that such person will be exposed to the risk of death or grievous hurt, or to be dealt with as a slave, or to be forced to commit a crime, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",High
368,368,"Wrongfully concealing or keeping in confinement, kidnapped or abducted person.",Concealing or confining a kidnapped or abducted person.,Crime Against Person,"Imprisonment up to 7 years, and fine.",Non-Bailable,Magistrate of the First Class,"Whoever, knowing that any person has been kidnapped or has been abducted, wrongfully conceals or detains such person, shall be punished in the same manner as if he had kidnapped or abducted such person.",Low
369,369,Kidnapping or abducting child under ten years with intent to steal from its person.,Kidnapping a child under ten years with the intent to steal from them.,Crime Against Child,"Imprisonment up to 7 years, and fine.",Non-Bailable,Magistrate of the First Class,"Whoever kidnaps or abducts any child under the age of ten years with the intention of taking movable property from the person of such child, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",Low
370,370,Trafficking of person.,Trafficking a person for the purpose of exploitation.,Human Trafficking,"Imprisonment for at least 7 years, up to 10 years, and fine.",Non-Bailable,Court of Session,"Whoever, for the purpose of exploitation, recruits, transports, harbours, transfers or receives a person or persons, by means of threat or use of force or other forms of coercion, or by abduction, or by fraud, or by deception, or by the abuse of power, or by the giving or receiving of payments or benefits to achieve the consent of a person having control over another person, shall be punished with rigorous imprisonment for a term which shall not be less than seven years but which may extend to ten years, and shall also be liable to fine.",Low
370A,370A,Exploitation of a trafficked person.,Exploiting a trafficked person.,Human Trafficking,"Imprisonment for at least 3 years, up to 5 years, and fine.",Non-Bailable,Court of Session,"Whoever exploits a trafficked person, or causes such person to be exploited, shall be punished with rigorous imprisonment for a term which shall not be less than three years but which may extend to five years, and shall also be liable to fine.",Low
371,371,Habitual dealing in slaves.,Habitually dealing in slaves.,Human Trafficking,"Imprisonment for life, or imprisonment up to 10 years, and fine.",Non-Bailable,Court of Session,"Whoever habitually imports, exports, removes, buys, sells, traffics or deals in slaves, shall be punished with imprisonment for life, or with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine.",Low
372,372,"Selling minor for purposes of prostitution, etc.",Selling a minor for prostitution.,Crime Against Child,"Imprisonment up to 10 years, and fine.",Non-Bailable,Court of Session,"Whoever sells, lets to hire, or otherwise disposes of any person under the age of eighteen years with intent that such person shall be, or knowing it to be likely that such person will be, employed or used for the purpose of prostitution or illicit intercourse with any person or for any unlawful and immoral purpose, or knowing it to be likely that such person will be, a prostitute, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Low
373,373,"Buying minor for purposes of prostitution, etc.",Buying a minor for prostitution.,Crime Against Child,"Imprisonment up to 10 years, and fine.",Non-Bailable,Court of Session,"Whoever buys, hires, or otherwise obtains possession of any person under the age of eighteen years with intent that such person shall be, or knowing it to be likely that such person will be, employed or used for the purpose of prostitution or illicit intercourse with any person or for any unlawful and immoral purpose, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Low
374,374,Unlawful compulsory labour.,Compelling a person to labour against their will.,Crime Against Person,"Imprisonment up to 1 year, or fine, or both.",Bailable,Any Magistrate,"Whoever unlawfully compels any person to labour against the will of that person, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.",Low
375,375,Rape.,Defining the offence of rape.,Crime Against Woman,Varies based on the specific act.,Non-Bailable,Court of Session,A man is said to commit 'rape' who has sexual intercourse with a woman under circumstances falling under any of the following seven descriptions... (detailed descriptions of non-consensual intercourse).,High
376,376,Punishment for rape.,Punishment for the offence of rape.,Crime Against Woman,"Rigorous imprisonment for at least 10 years, up to life, and fine.",Non-Bailable,Court of Session,"Whoever commits rape shall be punished with rigorous imprisonment for a term which shall not be less than ten years, but which may extend to imprisonment for life, and shall also be liable to fine.",High
376A,376A,Intercourse by a man with his wife during separation.,A husband having sexual intercourse with his wife during separation.,Crime Against Woman,"Imprisonment for at least 2 years, up to 7 years, and fine.",Bailable,Magistrate of the First Class,"Whoever has sexual intercourse with his own wife, who is living separately from him under a decree of judicial separation or under any other order of a competent Court, shall be punished with imprisonment of either description for a term which shall not be less than two years but which may extend to seven years, and shall also be liable to fine.",Low
376B,376B,Sexual intercourse by public servant with a woman in his custody.,A public servant having sexual intercourse with a woman in his custody.,Crime Against Woman,"Imprisonment for at least 5 years, up to 10 years, and fine.",Non-Bailable,Court of Session,"Whoever, being a public servant, and having sexual intercourse with any woman who is in his custody, or in the custody of any person under his control, shall be punished with rigorous imprisonment for a term which shall not be less than five years, but which may extend to ten years, and shall also be liable to fine.",Low
376C,376C,"Sexual intercourse by superintendent of jail, remand home, etc.",Superintendent of a jail or similar institution having sexual intercourse with a female inmate.,Crime Against Woman,"Imprisonment for at least 5 years, up to 10 years, and fine.",Non-Bailable,Court of Session,"Whoever, being a superintendent or manager of a jail, remand home, or any other place of confinement, has sexual intercourse with any female inmate of such jail, remand home, or place of confinement, shall be punished with rigorous imprisonment for a term which shall not be less than five years, but which may extend to ten years, and shall also be liable to fine.",Low
376D,376D,Gang rape.,When rape is committed by one or more persons in a group.,Crime Against Woman,"Rigorous imprisonment for life, which shall mean imprisonment for the remainder of that person's natural life, and fine.",Non-Bailable,Court of Session,"When a woman is raped by one or more persons constituting a group acting in furtherance of a common intention, each of the persons shall be deemed to have committed the offence of rape and shall be punished with rigorous imprisonment for a term which shall not be less than twenty years, but which may extend to rigorous imprisonment for life, which shall mean imprisonment for the remainder of that person's natural life, and shall also be liable to fine.",High
376E,376E,Punishment for repeat offenders.,Punishment for repeat rape offenders.,Crime Against Woman,"Imprisonment for life, which shall mean imprisonment for the remainder of that person's natural life, or with death.",Non-Bailable,Court of Session,"Whoever having been previously convicted of an offence punishable under section 376 or section 376A or section 376D is subsequently convicted of any of the said offences shall be punished with imprisonment for life which shall mean imprisonment for the remainder of that person's natural life, or with death.",High
377,377,Unnatural offences.,Sexual acts against the order of nature.,Unnatural Offences,"Imprisonment for life, or imprisonment up to 10 years, and fine.",Non-Bailable,Court of Session,"Whoever voluntarily has carnal intercourse against the order of nature with any man, woman or animal, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Low
379,379,Punishment for theft.,Punishment for the offence of theft.,Property Crime,"Imprisonment up to 3 years, or fine, or both.",Non-Bailable,Any Magistrate,"Whoever commits theft shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",Medium
380,380,"Theft in dwelling-house, etc.","Theft committed in a house, tent, or vessel used as a human dwelling or for property custody.",Property Crime,"Imprisonment up to 7 years, and fine.",Non-Bailable,Magistrate of the First Class,"Whoever commits theft in any building, tent or vessel, which is used as a human dwelling, or used for the custody of property, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",Medium
381,381,Theft by clerk or servant of property in possession of master.,A clerk or servant committing theft on property in the possession of their master.,Property Crime,"Imprisonment up to 7 years, and fine.",Non-Bailable,Magistrate of the First Class,"Whoever, being a clerk or servant, or being employed in the capacity of a clerk or servant, commits theft in respect of any property in the possession of his master or employer, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",Medium
382,382,"Theft after preparation made for causing death, hurt or restraint in order to the committing of the theft.","Theft committed after preparation to cause death, hurt, or restraint.",Property Crime,"Rigorous imprisonment up to 10 years, and fine.",Non-Bailable,Magistrate of the First Class,"Whoever commits theft, having made preparation for causing death, or hurt, or wrongful restraint, or fear of death, or of hurt, or of wrongful restraint, to any person, in order to the committing of such theft, or in order to the effecting of his escape after the committing of such theft, or in order to the retaining of property taken by such theft, shall be punished with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine.",High
384,384,Punishment for extortion.,Punishment for the offence of extortion.,Property Crime,"Imprisonment up to 3 years, or fine, or both.",Non-Bailable,Any Magistrate,"Whoever commits extortion shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",Medium
385,385,Putting person in fear of injury in order to commit extortion.,Putting a person in fear of injury to commit extortion.,Property Crime,"Imprisonment up to 2 years, or fine, or both.",Bailable,Magistrate of the First Class,"Whoever, in order to commit extortion, puts any person in fear, or attempts to put any person in fear, of any injury, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Medium
386,386,Extortion by putting a person in fear of death or grievous hurt.,Extortion where the threat is of death or grievous hurt.,Property Crime,"Imprisonment up to 10 years, and fine.",Non-Bailable,Court of Session,"Whoever commits extortion by putting any person in fear of death or of grievous hurt to that person or to any other, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",High
387,387,"Putting person in fear of death or of grievous hurt, in order to commit extortion.",Putting a person in fear of death or grievous hurt to commit extortion.,Property Crime,"Imprisonment up to 7 years, and fine.",Non-Bailable,Court of Session,"Whoever, in order to commit extortion, puts or attempts to put any person in fear of death or of grievous hurt to that person or to any other, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",High
388,388,"Extortion by threat of accusation of an offence punishable with death or imprisonment for life, etc.",Extortion by threatening to accuse someone of a crime punishable with death or life imprisonment.,Property Crime,"Imprisonment up to 10 years, and fine.",Non-Bailable,Court of Session,"Whoever commits extortion by putting any person in fear of an accusation, against that person or any other, of having committed or attempted to commit any offence punishable with death, or with imprisonment for life, or with imprisonment for a term which may extend to ten years, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",High
389,389,"Putting person in fear of accusation of offence, in order to commit extortion.",Putting a person in fear of accusation to commit extortion.,Property Crime,"Imprisonment up to 10 years, and fine.",Non-Bailable,Court of Session,"Whoever, in order to commit extortion, puts or attempts to put any person in fear of an accusation, against that person or any other, of having committed or attempted to commit an offence punishable with death, or with imprisonment for life, or with imprisonment for a term which may extend to ten years, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Medium
392,392,Punishment for robbery.,Punishment for the offence of robbery.,Property Crime,"Rigorous imprisonment up to 10 years, and fine. If committed on a highway between sunset and sunrise, up to 14 years.",Non-Bailable,Court of Session,"Whoever commits robbery shall be punished with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine; and, if the robbery be committed on the highway, between sunset and sunrise, the imprisonment may be extended to fourteen years.",Low
393,393,Attempt to commit robbery.,Attempting to commit robbery.,Property Crime,"Rigorous imprisonment up to 7 years, and fine.",Non-Bailable,Magistrate of the First Class,"Whoever attempts to commit robbery, shall be punished with rigorous imprisonment for a term which may extend to seven years, and shall also be liable to fine.",Low
394,394,Voluntarily causing hurt in committing robbery.,Causing hurt to someone during the commission of robbery.,Property Crime,"Imprisonment for life, or rigorous imprisonment up to 10 years, and fine.",Non-Bailable,Court of Session,"If any person, in committing or attempting to commit robbery, voluntarily causes hurt, such person, and any other person jointly concerned in the robbery, shall be punished with imprisonment for life, or with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine.",Low
395,395,Punishment for dacoity.,Punishment for the offence of dacoity.,Property Crime,"Imprisonment for life, or rigorous imprisonment up to 10 years, and fine.",Non-Bailable,Court of Session,"Whoever commits dacoity shall be punished with imprisonment for life, or with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine.",High
396,396,Dacoity with murder.,"If murder is committed during dacoity, all those involved are liable.",Property Crime,"Death, or imprisonment for life, or rigorous imprisonment up to 10 years, and fine.",Non-Bailable,Court of Session,"If any one of five or more persons, who are conjointly committing dacoity, commits murder in the commission of that dacoity, every one of those persons shall be punished with death, or imprisonment for life, or rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine.",High
397,397,Robbery or dacoity with attempt to cause death or grievous hurt.,When a person uses a deadly weapon or causes grievous hurt during a robbery or dacoity.,Property Crime,Rigorous imprisonment for at least 7 years.,Non-Bailable,Court of Session,"If, at the time of committing robbery or dacoity, the offender uses any deadly weapon, or causes grievous hurt, or attempts to cause death or grievous hurt, the imprisonment with which such offender shall be punished shall not be less than seven years.",High
398,398,Attempt to commit robbery or dacoity when armed with deadly weapon.,Attempting robbery or dacoity while armed with a deadly weapon.,Property Crime,Rigorous imprisonment for at least 7 years.,Non-Bailable,Court of Session,"If, at the time of attempting to commit robbery or dacoity, the offender is armed with any deadly weapon, the imprisonment with which such offender shall be punished shall not be less than seven years.",High
399,399,Making preparation to commit dacoity.,Preparing to commit a dacoity.,Property Crime,"Rigorous imprisonment up to 10 years, and fine.",Non-Bailable,Court of Session,"Whoever makes any preparation for the purpose of committing dacoity, shall be punished with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine.",High
400,400,Punishment for belonging to gang of dacoits.,Belonging to a gang of dacoits.,Property Crime,"Rigorous imprisonment up to 10 years, and fine.",Non-Bailable,Court of Session,"Whoever, at any time after the passing of this Act, shall have belonged to a gang of persons associated for the purpose of habitually committing dacoity, shall be punished with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine.",Low
401,401,Punishment for belonging to gang of thieves.,Belonging to a gang of thieves.,Property Crime,"Rigorous imprisonment up to 7 years, and fine.",Non-Bailable,Magistrate of the First Class,"Whoever, at any time after the passing of this Act, shall have belonged to any wandering or other gang of persons associated for the purpose of habitually committing theft or robbery, and not of dacoity, shall be punished with rigorous imprisonment for a term which may extend to seven years, and shall also be liable to fine.",Low
402,402,Assembling for purpose of committing dacoity.,Assembling with five or more persons with the intent to commit dacoity.,Property Crime,"Rigorous imprisonment up to 7 years, and fine.",Non-Bailable,Court of Session,"Whoever, at any time after the passing of this Act, shall be one of five or more persons assembled for the purpose of committing dacoity, shall be punished with rigorous imprisonment for a term which may extend to seven years, and shall also be liable to fine.",High
403,403,Dishonest misappropriation of property.,Dishonestly taking property for one's own use.,Property Crime,"Imprisonment up to 2 years, or fine, or both.",Bailable,Any Magistrate,"Whoever dishonestly misappropriates or converts to his own use any movable property, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Low
404,404,Dishonest misappropriation of property possessed by deceased person at the time of his death.,Dishonestly taking property that belonged to a deceased person.,Property Crime,"Imprisonment up to 3 years, and fine.",Non-Bailable,Magistrate of the First Class,"Whoever dishonestly misappropriates or converts to his own use property, knowing that such property was in the possession of a deceased person at the time of that person's decease, and that it has not since been in the possession of any person legally entitled to it, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",High
406,406,Punishment for criminal breach of trust.,Punishment for the offence of criminal breach of trust.,Property Crime,"Imprisonment up to 3 years, or fine, or both.",Bailable,Magistrate of the First Class,"Whoever commits criminal breach of trust shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",Low
407,407,"Criminal breach of trust by carrier, etc.","A carrier, wharfinger, or warehouse-keeper committing criminal breach of trust.",Property Crime,"Imprisonment up to 7 years, and fine.",Non-Bailable,Magistrate of the First Class,"Whoever, being entrusted with property as a carrier, wharfinger or warehouse-keeper, commits criminal breach of trust in respect of such property, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",Low
408,408,Criminal breach of trust by clerk or servant.,A clerk or servant committing criminal breach of trust.,Property Crime,"Imprisonment up to 7 years, and fine.",Non-Bailable,Magistrate of the First Class,"Whoever, being a clerk or servant, or being employed in the capacity of a clerk or servant, and being in any manner entrusted in such capacity with property, or with any dominion over property, commits criminal breach of trust in respect of that property, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",Low
409,409,"Criminal breach of trust by public servant, or by banker, merchant or agent.","A public servant, banker, merchant, or agent committing criminal breach of trust.",Property Crime,"Imprisonment for life, or rigorous imprisonment up to 10 years, and fine.",Non-Bailable,Court of Session,"Whoever, being in any manner entrusted with property, or with any dominion over property in his capacity of a public servant or in the way of his business as a banker, merchant, factor, broker, attorney or agent, commits criminal breach of trust in respect of that property, shall be punished with imprisonment for life, or with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine.",Low
411,411,Dishonestly receiving stolen property.,"Dishonestly receiving stolen property, knowing it to be stolen.",Property Crime,"Imprisonment up to 3 years, or fine, or both.",Non-Bailable,Any Magistrate,"Whoever dishonestly receives or retains any stolen property, knowing or having reason to believe the same to be stolen property, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",Low
412,412,Dishonestly receiving property stolen in the commission of a dacoity.,Dishonestly receiving property stolen during a dacoity.,Property Crime,"Imprisonment for life, or rigorous imprisonment up to 10 years, and fine.",Non-Bailable,Court of Session,"Whoever dishonestly receives or retains any stolen property, the possession whereof he knows or has reason to believe to have been transferred by the commission of dacoity, or is at any time in possession of any property which he knows or has reason to believe to have been stolen in the commission of a dacoity, shall be punished with imprisonment for life, or with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine.",High
413,413,Habitually dealing in stolen property.,Habitually dealing in stolen property.,Property Crime,"Imprisonment for life, or rigorous imprisonment up to 10 years, and fine.",Non-Bailable,Court of Session,"Whoever habitually receives or deals in property which he knows or has reason to believe to be stolen property, shall be punished with imprisonment for life, or with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine.",Low
414,414,Assisting in concealment of stolen property.,Assisting in concealing or disposing of stolen property.,Property Crime,"Imprisonment up to 3 years, or fine, or both.",Non-Bailable,Magistrate of the First Class,"Whoever voluntarily assists in concealing or disposing of or making away with property which he knows or has reason to believe to be stolen property, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",Low
417,417,Punishment for cheating.,Punishment for the offence of cheating.,Fraud,"Imprisonment up to 1 year, or fine, or both.",Bailable,Any Magistrate,"Whoever cheats shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.",Medium
418,418,Cheating with knowledge that wrongful loss may ensue to person whose interest offender is bound to protect.,Cheating by a person who is bound by law or a legal contract to protect the interests of another.,Fraud,"Imprisonment up to 3 years, or fine, or both.",Bailable,Magistrate of the First Class,"Whoever cheats with the knowledge that he is likely thereby to cause wrongful loss to a person whose interest in the transaction to which the cheating relates, he was bound, either by law, or by a legal contract, to protect, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",Medium
419,419,Punishment for cheating by personation.,Punishment for cheating by pretending to be someone else.,Fraud,"Imprisonment up to 3 years, or fine, or both.",Bailable,Magistrate of the First Class,"Whoever cheats by personation shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",Medium
420,420,Cheating and dishonestly inducing delivery of property.,Cheating and dishonestly inducing someone to deliver property.,Fraud,"Imprisonment up to 7 years, and fine.",Non-Bailable,Magistrate of the First Class,"Whoever cheats and thereby dishonestly induces the person deceived to deliver any property to any person, or to make, alter or destroy the whole or any part of a valuable security, or anything which is signed or sealed, and which is capable of being converted into a valuable security, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",Medium
421,421,Dishonest or fraudulent removal or concealment of property to prevent distribution among creditors.,Dishonestly removing or concealing property to prevent creditors from seizing it.,Fraud,"Imprisonment up to 2 years, or fine, or both.",Bailable,Any Magistrate,"Whoever dishonestly or fraudulently conceals or removes any property of himself or any other person, or dishonestly or fraudulently assists in the concealment or removal thereof, or dishonestly or fraudulently releases any claim or demand, to prevent that property or valuable security from being taken in execution of a decree or order which has been made, or is likely to be made, or for the purpose of defrauding any of his creditors, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Low
422,422,Dishonestly or fraudulently preventing debt being available for creditors.,Dishonestly preventing a debt from being available to creditors.,Fraud,"Imprisonment up to 2 years, or fine, or both.",Bailable,Any Magistrate,"Whoever dishonestly or fraudulently prevents any debt or demand due to himself or to any other person from being made available for the satisfaction of his creditors or any of them, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Low
